"variable","Mean","CI_low","CI_high","group"
"Astrocyte Expression",1.03187878933868,0.987929049932167,1.07582852874519,"set1"
"Excitatory Expression",1.02057341541979,0.96345245688032,1.07769437395925,"set1"
"Hippocampus expression",0.994418704910212,0.978922545477507,1.00991486434292,"set1"
"Inhibitory Expression",1.24088262307914,1.09990031194893,1.38186493420934,"set1"
"LOEUF",0.54879999168113,0.477319023792129,0.620280959570131,"set1"
"Non-brain expression",0.993972890966021,0.977238953590136,1.01070682834191,"set1"
"Synapse localization",1.03577311494763,0.94227295631185,1.12927327358342,"set1"
