"variable","Mean","CI_low","CI_high","group"
"Accelerated dorsal expression (D2)",0.95818977052846,0.887022137468496,1.02935740358842,"set9"
"Astrocyte Expression",1.01052522661166,0.988006090242032,1.03304436298128,"set9"
"Excitatory Expression",1.01275170962196,0.977347287859172,1.04815613138474,"set9"
"Inhibitory Expression",1.10277280667709,1.01510999008306,1.19043562327111,"set9"
"LOEUF",0.607166106145155,0.538492270011743,0.675839942278566,"set9"
"Synapse localization",1.28758838383373,0.850199486987675,1.72497728067979,"set9"
