"variable","Mean","CI_low","CI_high","group"
"Astrocyte Expression",1.14388060448808,1.06262204159467,1.22513916738149,"NCRBP"
"Basal ganglia expression",0.944267608729603,0.842539587802738,1.04599562965647,"NCRBP"
"Inhibitory Expression",1.12520220795881,1.08416366214185,1.16624075377576,"NCRBP"
"LOEUF",0.577733311563793,0.522553955287629,0.632912667839957,"NCRBP"
"Microglia Expression",1.01599401133667,0.988797565098831,1.04319045757451,"NCRBP"
"Neuron expression (D77)",1.0371500252636,0.946753355023768,1.12754669550342,"NCRBP"
"Non-brain expression",0.93135727518665,0.84058577631771,1.02212877405559,"NCRBP"
"Oligodendrocyte Expression",1.00715968052519,0.997469888742126,1.01684947230826,"NCRBP"
"Synapse localization",1.17014700432891,0.914112283162316,1.42618172549551,"NCRBP"
