"variable","Mean","CI_low","CI_high","group"
"Astrocyte Expression",1.07992764365163,0.981066649754836,1.17878863754842,"CompRBP"
"Basal ganglia expression",0.995954633614924,0.988959900218013,1.00294936701183,"CompRBP"
"Excitatory Expression",1.0156818185133,0.972142110261454,1.05922152676514,"CompRBP"
"Inhibitory Expression",1.1260572807523,1.02056583014909,1.23154873135551,"CompRBP"
"LOEUF",0.502356967878055,0.417659989762951,0.587053945993158,"CompRBP"
"Microglia Expression",1.00573377113095,0.989814270340101,1.0216532719218,"CompRBP"
"Neuron expression (D77)",1.0250415758346,0.955515015182189,1.09456813648701,"CompRBP"
"Non-brain expression",0.941372037642654,0.837441849885304,1.0453022254,"CompRBP"
"Synapse localization",1.16940885122346,0.954201236831198,1.38461646561572,"CompRBP"
