"variable","Mean","CI_low","CI_high","group"
"Astrocyte Expression",1.06995156046611,1.04387258014574,1.09603054078647,"Protein-coding genes"
"Excitatory Expression",1.09429713653314,1.05360485528129,1.134989417785,"Protein-coding genes"
"Inhibitory Expression",1.14498238195178,1.10036046749997,1.1896042964036,"Protein-coding genes"
"LOEUF",0.535155604702492,0.518622308829661,0.551688900575323,"Protein-coding genes"
"Microglia Expression",1.00383980047049,0.998674269234577,1.0090053317064,"Protein-coding genes"
"Non-brain expression",0.967122672719561,0.938298028930215,0.995947316508907,"Protein-coding genes"
"Oligodendrocyte Expression",1.00100200804973,0.998219987704697,1.00378402839475,"Protein-coding genes"
"Synapse localization",1.66013532536495,1.59707223004978,1.72319842068013,"Protein-coding genes"
